tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
TDG,2021,2,2021/05/11 11:45:50.497,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:50.497,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:50.680,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:45:50.728,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:50.728,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:50.728,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:50.728,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:54.725,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:56.000,,,,,1.0,9.0
TDG,2021,2,2021/05/11 11:45:56.517,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:45:56.558,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:56.558,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:56.817,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:46:00.000,,,66.0,149.711,,
TDG,2021,2,2021/05/11 11:46:02.000,,,,,4.0,36.0
TDG,2021,2,2021/05/11 11:46:02.388,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:46:02.408,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:46:05.000,,,,,2.0,19.0
TDG,2021,2,2021/05/11 11:46:05.730,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:46:05.754,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:46:05.754,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:46:10.000,,,,,1.0,71.0
TDG,2021,2,2021/05/11 11:46:10.753,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:46:10.778,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:46:13.000,,,,,2.0,6.0
TDG,2021,2,2021/05/11 11:46:13.085,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:46:13.130,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:46:13.130,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:46:13.653,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:46:13.693,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:46:13.693,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:46:13.693,0.069,0.0,,,,
