tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
RFIL,2021,2,2021/06/14 16:58:45.003,0.025,-0.333,,,,
RFIL,2021,2,2021/06/14 16:58:51.334,0.12,-0.765,,,,
RFIL,2021,2,2021/06/14 16:58:53.000,,,,,1.0,300.0
RFIL,2021,2,2021/06/14 16:59:24.000,,,,,1.0,12.0
RFIL,2021,2,2021/06/14 16:59:54.000,,,,,1.0,228.0
RFIL,2021,2,2021/06/14 17:00:00.000,,,3.0,0.235,,
RFIL,2021,2,2021/06/14 17:00:39.000,,,,,4.0,216.0
RFIL,2021,2,2021/06/14 17:00:39.391,0.072,0.667,,,,
RFIL,2021,2,2021/06/14 17:00:39.391,0.012,-0.538,,,,
RFIL,2021,2,2021/06/14 17:00:39.394,0.012,-0.667,,,,
RFIL,2021,2,2021/06/14 17:01:00.000,,,6.0,0.202,,
RFIL,2021,2,2021/06/14 17:01:04.138,0.12,-0.714,,,,
RFIL,2021,2,2021/06/14 17:01:05.632,0.069,0.25,,,,
RFIL,2021,2,2021/06/14 17:01:07.269,0.12,-0.714,,,,
RFIL,2021,2,2021/06/14 17:01:12.000,,,,,1.0,300.0
RFIL,2021,2,2021/06/14 17:01:42.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 17:01:44.000,,,,,3.0,200.0
RFIL,2021,2,2021/06/14 17:01:44.742,0.072,0.667,,,,
RFIL,2021,2,2021/06/14 17:01:44.742,0.016,-0.818,,,,
